[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,Li0.5Al0.5Fe5O8
FILEOPENTIME,15320102.91,06/27/2023,4:37 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,LB510,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Li0.5Al0.5Fe5O8 +PVA,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,11.59,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3 mm diameter,SAMPLE_SIZE
INFO,pellet,SAMPLE_SHAPE
INFO,34.24,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,15321300.095,342.773803710937,1000.063,0.235089354364563,3.81123938448584E-6,1,15.0002345885404,40.1327056884766,2.0060572153988,8.940001539886,1.30414691273744,0.123310162296287,25,-0.000220339431764284,0.235079354287664,0.000696554912760017,295.0576782,295.0583801,1000.063,1000.063,57.5294222724292,20.7094566250809,9.15E-6,0,0,0,5906,294.3594,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.05802915,,,,
,15321315.095,344.149627685547,1000.063,0.234899300364219,3.76093283552868E-6,1,15.0002345885404,40.1327056884766,2.00608296513326,8.940001539886,1.30310821605052,0.123218784764836,25,-0.000218997985028648,0.234889291031984,0.000697212631884704,295.0583801,295.0598755,1000.063,1000.063,57.6935642614676,20.7110167602994,9.15E-6,0,0,0,5906,294.34385,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.0591278,,,,
,15321330.135,345.355987548828,1000.063,0.234692916690353,3.85378717245367E-6,1,15.0002345885404,40.1327056884766,2.00606012021531,8.940001539886,1.30195241279365,0.123070954735108,25,-0.000225752065779735,0.234682933312656,0.000689714571427191,295.0596313,295.0598755,1000.063,1000.063,57.7279559163138,20.7117748792067,9.1E-6,0,0,0,5906,294.32745,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.0597534,,,,
,15321345.14,346.704559326172,1000.063,0.234494759872873,4.94423762506013E-6,1,15.0002345885404,40.1327056884766,2.00601809015688,8.93000192940235,1.30082582293345,0.122971158133853,25,-0.000224413250105193,0.234484767812696,0.000690328809482843,295.0596313,295.0622864,1000.063,1000.063,57.5974239536023,20.7124508251499,9.15E-6,0,0,0,5906,294.31435,1000.063,,,,,,,,,,,,,,,,,212.660156,,,,,,295.06095885,,,,
,15321360.14,347.882537841797,1000.063,0.234294632683962,4.43685309826583E-6,1,15.0002345885404,40.1327056884766,2.00597871642282,8.940001539886,1.29969059213038,0.122865074620782,25,-0.000224036466161237,0.234284644079957,0.00068996001274283,295.0599365,295.0622864,1000.063,1000.063,57.7037254322177,20.7129616054852,9.2E-6,0,0,0,5906,294.30485,1000.063,,,,,,,,,,,,,,,,,212.660156,,,,,,295.06111145,,,,
,15321375.195,349.198272705078,1000.063,0.234085631281523,4.75253253068165E-6,1,15.0002345885404,40.1327056884766,2.00592062694541,8.940001539886,1.29849355920521,0.122762232828936,25,-0.000222003798958905,0.234075653454644,0.000691188191331056,295.0592651,295.0599365,1000.063,1000.063,57.5849178972945,20.7130502391153,9.15E-6,0,0,0,5906,294.3019,1000.063,,,,,,,,,,,,,,,,,212.660156,,,,,,295.0596008,,,,
,15321390.24,350.396118164063,1000.063,0.233880494660424,4.86776870355458E-6,1,15.0002345885404,40.1327056884766,2.00593223148634,8.940001539886,1.29736296682587,0.12265526970742,25,-0.000221877018490412,0.233870522298298,0.000690569141179135,295.0592651,295.0594482,1000.063,1000.063,57.5935158110061,20.7134454656836,9.15E-6,0,0,0,5906,294.28715,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.05935665,,,,
,15321405.265,351.661468505859,1000.063,0.233677282538634,1.69755430646663E-6,1,15.0002345885404,40.1327056884766,2.00596728153913,8.940001539886,1.29626040171706,0.122523806533371,25,-0.000226548537889331,0.233667334270951,0.000685105038227055,295.0594482,295.0603333,1000.063,1000.063,57.6959091470253,20.7132434559106,9.2E-6,0,0,0,5906,294.28715,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.05989075,,,,
,15321420.23,352.888488769531,1000.063,0.233476511271457,4.59755849513206E-6,1,15.0002345885404,40.1327056884766,2.00593836734504,8.93000192940235,1.29512783716321,0.122422840715558,25,-0.000225290540857362,0.233466561282119,0.000685603641020855,295.0603333,295.0606079,1000.063,1000.063,57.7889229408138,20.7146405586622,9.2E-6,0,0,0,5906,294.28065,1000.063,,,,,,,,,,,,,,,,,212.294205,,,,,,295.0604706,,,,
,15321435.195,354.173950195313,1000.063,0.233268730236108,3.79315782591724E-6,1,15.0002345885404,40.1327056884766,2.00584684327783,8.940001539886,1.29391697979359,0.122313951943881,25,-0.000224239770380024,0.233258770837156,0.000685988381272122,295.0606079,295.0606995,1000.063,1000.063,57.6427584077176,20.7159004158895,9.2E-6,0,0,0,5906,294.24135,1000.063,,,,,,,,,,,,,,,,,212.660156,,,,,,295.0606537,,,,
