[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,Li0.6Al0.4Fe5O8
FILEOPENTIME,15380191.52,06/28/2023,9:18 am
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,LB510,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Li0.6Al0.4Fe5O8 +PVA,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,5.67,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3 mm diameter,SAMPLE_SIZE
INFO,pellet,SAMPLE_SHAPE
INFO,35.06,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,15381228.88,329.09375,999.931,0.19554129933884,4.28051393639486E-6,1,15.0002345885404,40.1327056884766,1.98685512544371,10.3100021928549,1.07466867215631,0.101010051065652,25,-0.000291383285756189,0.195533475695852,0.000470736868552718,295.0517578,295.0563354,999.931,999.931,59.7383044677755,20.4276645597542,9.15E-6,0,0,0,5906,294.53275,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.0540466,,,,
,15381243.865,330.192993164063,999.931,0.195369192517609,2.97146075498085E-6,1,15.0002345885404,40.1327056884766,1.98698202392075,10.3100021928549,1.07379002659788,0.100923835105218,25,-0.000291826818222865,0.195361355159901,0.000469667762041725,295.0563354,295.0586243,999.931,999.931,59.5882317920832,20.4255130709671,9.15E-6,0,0,0,5906,294.51805,999.931,,,,,,,,,,,,,,,,,217.417542,,,,,,295.05747985,,,,
,15381258.875,331.508056640625,999.931,0.195197969202725,3.68913536198297E-6,1,15.0002345885404,40.1327056884766,1.98704932091662,10.3100021928549,1.07288487169283,0.100833681847814,25,-0.000292522422512238,0.195190130622532,0.000468340152665243,295.0586243,295.0593872,999.931,999.931,59.617933675814,20.4275029050901,9.1E-6,0,0,0,5906,294.50655,999.931,,,,,,,,,,,,,,,,,218.14946,,,,,,295.05900575,,,,
,15381273.785,332.796478271484,999.931,0.195016850534783,2.94011366450148E-6,1,15.0002345885404,40.1327056884766,1.98700865082857,10.3100021928549,1.07186937914994,0.100722926875659,25,-0.000295043341286712,0.195009029289368,0.000465143638799667,295.0578918,295.0593872,999.931,999.931,59.8797792297563,20.4246494277417,9.15E-6,0,0,0,5906,294.4967,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.0586395,,,,
,15381288.805,334.028717041016,999.931,0.194850133613858,2.4969048921786E-6,1,15.0002345885404,40.1327056884766,1.98703673828847,10.3100021928549,1.07096696509036,0.100647474653958,25,-0.000293107856304252,0.194842312853343,0.000466431630765222,295.0578918,295.0591736,999.931,999.931,59.6835904714294,20.4265779729601,9.15E-6,0,0,0,5906,294.4959,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.0585327,,,,
,15381303.82,335.276062011719,999.931,0.194674951535094,4.38404816542122E-6,1,15.0002345885404,40.1327056884766,1.98704337299055,10.3100021928549,1.07000783004617,0.100554229464872,25,-0.000293427296521937,0.194667129763206,0.000465451863516738,295.0591736,295.0608521,999.931,999.931,59.5983929628332,20.4290908555824,9.15E-6,0,0,0,5906,294.48855,999.931,,,,,,,,,,,,,,,,,218.14946,,,,,,295.06001285,,,,
,15381318.84,336.624176025391,999.931,0.194492215108517,3.33116761626943E-6,1,15.0002345885404,40.1327056884766,1.98709044163054,10.3100021928549,1.06902719776063,0.100471434414387,25,-0.000291544299696491,0.194484375524418,0.000466702845796092,295.0608521,295.0632629,999.931,999.931,59.6554518447371,20.4287265589041,9.15E-6,0,0,0,5906,294.4623,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.0620575,,,,
,15381333.83,337.756439208984,999.931,0.194310600872039,3.06297815105367E-6,1,15.0002345885404,40.1327056884766,1.98706612415195,10.3100021928549,1.06801691716812,0.100367993123347,25,-0.000292833536673494,0.194302762076632,0.000464735771960813,295.0632629,295.0643921,999.931,999.931,59.4514468012178,20.4369365343082,9.1E-6,0,0,0,5906,294.45245,999.931,,,,,,,,,,,,,,,,,218.14946,,,,,,295.0638275,,,,
,15381348.765,338.962280273438,999.931,0.19412834714678,2.62801557533983E-6,1,15.0002345885404,40.1327056884766,1.98697827742418,10.3100021928549,1.06696806560896,0.100279439616482,25,-0.000290813219722259,0.194120497657127,0.000466105693921864,295.0643921,295.0652771,999.931,999.931,59.292776211814,20.4374530864057,9.15E-6,0,0,0,5906,294.43275,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.0648346,,,,
,15381363.865,340.304016113281,999.931,0.193943978735453,4.04976135150084E-6,1,15.0002345885404,40.1327056884766,1.98689663016155,10.3100021928549,1.065912626339,0.100172421310621,25,-0.000292003049105103,0.193936132839016,0.000464252227784058,295.0652771,295.065979,999.931,999.931,59.9008831997756,20.4345408790267,9.15E-6,0,0,0,5906,294.4147,999.931,,,,,,,,,,,,,,,,,218.14946,,,,,,295.06562805,,,,
